Comment,Designator,Footprint,LCSC,Quantity
CH334R,U1,QSOP-16_3.9x4.9mm_P0.635mm,,1
100n,C2,C_0402_1005Metric,,1
10u,C5,C_0603_1608Metric,,1
SW_DIP_x02,SW1,SW_DIP_SPSTx02_Slide_6.7x6.64mm_W7.62mm_P2.54mm_LowProfile,,1
22R,R11,R_0402_1005Metric,,1
0R,R8,R_0603_1608Metric,,1
120R,R2,R_0603_1608Metric,,1
22R,R12,R_0402_1005Metric,,1
120R,R3,R_0603_1608Metric,,1
Conn_01x05,J4,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,,1
VCC_IN,J5,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,,1
10u,C1,C_0603_1608Metric,,1
12Mhz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,,1
22R,R9,R_0402_1005Metric,,1
0R,R6,R_0603_1608Metric,,1
1u,C6,C_0603_1608Metric,,1
10u,C3,C_0603_1608Metric,,1
100n,C4,C_0402_1005Metric,,1
Conn_01x02,J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,1
100n,C7,C_0402_1005Metric,,1
0R,R7,R_0603_1608Metric,,1
0R,R5,R_0603_1608Metric,,1
22R,R10,R_0402_1005Metric,,1
0R,R13,R_0603_1608Metric,,1
RJ45_LED_Shielded,J1,RJ45_Amphenol_RJHSE538X,,1
RJ45_LED_Shielded,J2,RJ45_Amphenol_RJHSE538X,,1
0R,R14,R_0603_1608Metric,,1
1k,R17,R_0402_1005Metric,,1
1k,R18,R_0402_1005Metric,,1
Conn_01x04,J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,1
